epoch,step,test_dataset_iou,test_loss,test_per_image_iou,train_dataset_iou,train_loss,train_per_image_iou,valid_dataset_iou,valid_loss,valid_per_image_iou
0,24,,,,,,,0.6155677437782288,0.5672650933265686,0.6155251264572144
0,24,,,,0.45333951711654663,0.5413035750389099,0.4607943594455719,,,
1,49,,,,,,,0.6115962266921997,0.5354675054550171,0.6117788553237915
1,49,,,,0.5959342122077942,0.5086309909820557,0.5885858535766602,,,
2,74,,,,,,,0.6310204267501831,0.5276529788970947,0.6294664740562439
2,74,,,,0.636806070804596,0.4994291067123413,0.6238473653793335,,,
3,99,,,,,,,0.6502109169960022,0.5254483819007874,0.6476200819015503
3,99,,,,0.6402386426925659,0.5084789991378784,0.6278688907623291,,,
4,124,,,,,,,0.6552123427391052,0.523531973361969,0.652167797088623
4,124,,,,0.6232568621635437,0.5129423141479492,0.6105328798294067,,,
5,149,,,,,,,0.6679258942604065,0.5208709239959717,0.6648308038711548
5,149,,,,0.6507659554481506,0.5051725506782532,0.6401146054267883,,,
6,174,,,,,,,0.6850124001502991,0.5171434283256531,0.681270956993103
6,174,,,,0.674683690071106,0.5032241940498352,0.6607769727706909,,,
7,199,,,,,,,0.7250417470932007,0.5139070749282837,0.7222414016723633
7,199,,,,0.7119666934013367,0.4877889156341553,0.6947067975997925,,,
8,224,,,,,,,0.7390021085739136,0.5116416215896606,0.7356113195419312
8,224,,,,0.6976553797721863,0.49951446056365967,0.6829113364219666,,,
9,249,,,,,,,0.7998024821281433,0.5105105638504028,0.7977523803710938
9,249,,,,0.7362514734268188,0.49008429050445557,0.718787670135498,,,
10,274,,,,,,,0.8031978607177734,0.5090169310569763,0.8005760908126831
10,274,,,,0.7345818281173706,0.4942723214626312,0.7169108390808105,,,
11,299,,,,,,,0.7988600134849548,0.508632242679596,0.7959842681884766
11,299,,,,0.7506636381149292,0.4797540605068207,0.731320321559906,,,
12,324,,,,,,,0.8052834868431091,0.5084939002990723,0.802420973777771
12,324,,,,0.7503638863563538,0.48931312561035156,0.7309898138046265,,,
13,349,,,,,,,0.806601345539093,0.507574200630188,0.8032562136650085
13,349,,,,0.7485855221748352,0.49344703555107117,0.7328172922134399,,,
14,374,,,,,,,0.8412711024284363,0.5076629519462585,0.8388231992721558
14,374,,,,0.7384150624275208,0.4967566430568695,0.7261538505554199,,,
15,399,,,,,,,0.8277892470359802,0.5051156282424927,0.8249047994613647
15,399,,,,0.7600244283676147,0.49194198846817017,0.7454031705856323,,,
16,424,,,,,,,0.8497999310493469,0.5040881037712097,0.846684455871582
16,424,,,,0.7599055171012878,0.493009477853775,0.7433148622512817,,,
17,449,,,,,,,0.8466488122940063,0.503221333026886,0.8430728912353516
17,449,,,,0.7536230683326721,0.4985053241252899,0.7417386174201965,,,
18,474,,,,,,,0.8609909415245056,0.5030903816223145,0.8574094772338867
18,474,,,,0.7847250699996948,0.489132285118103,0.7690743803977966,,,
19,499,,,,,,,0.8555659055709839,0.5028077960014343,0.8521097898483276
19,499,,,,0.7945086359977722,0.48528945446014404,0.7797375321388245,,,
20,524,,,,,,,0.8554098606109619,0.5026006102561951,0.8517319560050964
20,524,,,,0.7878722548484802,0.48717445135116577,0.7761596441268921,,,
21,549,,,,,,,0.8572620749473572,0.5022566914558411,0.8535736799240112
21,549,,,,0.7872405052185059,0.48909246921539307,0.7705017924308777,,,
22,574,,,,,,,0.8558571934700012,0.501616358757019,0.8523845672607422
22,574,,,,0.8073592185974121,0.47996044158935547,0.7921718955039978,,,
23,599,,,,,,,0.8532058000564575,0.5013010501861572,0.8490123152732849
23,599,,,,0.8039138913154602,0.4848678410053253,0.7936261296272278,,,
24,624,,,,,,,0.8872024416923523,0.5007610321044922,0.8842916488647461
24,624,,,,0.8173810243606567,0.4797796607017517,0.8049071431159973,,,
